timestamp,Load_consumed (kWh),air_temp,holiday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,January,February,March,April,May,June,July,August,September,October,November
2024-04-28 14:15:00,,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 14:30:00,,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 14:45:00,,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 15:00:00,,29.33333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 15:15:00,,29.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 15:30:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 15:45:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 16:00:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 16:15:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 16:30:00,,27.33333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 16:45:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 17:00:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 17:15:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 17:30:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 17:45:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 18:00:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 18:15:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 18:30:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 18:45:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 19:00:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 19:15:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 19:30:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 19:45:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 20:00:00,,28.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 20:15:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 20:30:00,,27.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 20:45:00,,26.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 21:00:00,,26.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 21:15:00,,26.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 21:30:00,,25.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 21:45:00,,25.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 22:00:00,,24.33333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 22:15:00,,23.666666666666668,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 22:30:00,,23.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 22:45:00,,22.33333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 23:00:00,,22.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 23:15:00,,21.666666666666668,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 23:30:00,,21.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-28 23:45:00,,21.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 00:00:00,,20.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 00:15:00,,20.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 00:30:00,,20.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 00:45:00,,19.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 01:00:00,,19.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 01:15:00,,18.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 01:30:00,,18.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 01:45:00,,17.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 02:00:00,,17.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 02:15:00,,17.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 02:30:00,,17.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 02:45:00,,17.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 03:00:00,,16.333333333333332,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 03:15:00,,16.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 03:30:00,,15.333333333333334,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
